record_id,participant_id,program_code,main_group,order_variant,age_group,design_education,digital_use,crowd_discomfort,study_duration_min,sensitivity_focus_or_reload_flag,final_usefulness,final_ease,final_representational_value,final_future_preference,trial_order,landmark_id,task_type,initial_density,first_user_selected_density,committed_density,density_sequence,switch_count,unique_levels_viewed,all_density_levels_clicked,selection_time_s,localization_time_s,time_empty_s,time_low_s,time_moderate_s,time_high_s,accuracy,aoi_distance,click_x,click_y,familiarity_visited,familiarity_visual,familiarity_spatial,rating_answer_confidence,rating_comparison_benefit,rating_control_usefulness,rating_ideal_density,rating_aesthetic_appeal,rating_expected_comfort,rating_self_location_imagery,rating_informational_adequacy,rating_representational_realism,review_selection_time_3iqr,review_localization_time_3iqr
P022_T3,P022,A1,A,1,18-34,no,3,6,9.5,True,6,6,6,6,3,colosseum,feature,moderate,low,low,moderate>low>empty>high>low,4,4,0,6.068,23.258,1.027,1.426,2.926,0.69,0.0,0.174,0.417,0.62,no,4,4,4.0,6.0,6,,,,,,,False,False
P022_T4,P022,A1,A,1,18-34,no,3,6,9.5,True,6,6,6,6,4,cologne,visit,high,low,low,high>low,1,2,0,4.68,,0.0,1.507,0.0,3.172,,,,,no,1,1,,,6,low,6.0,6.0,6.0,6.0,6.0,False,False
P023_T1,P023,B4,B,4,18-34,yes,3,4,4.5,False,5,5,5,5,1,cologne,feature,high,moderate,moderate,high>moderate>high>moderate,3,2,0,9.817,5.601,0.0,0.0,4.138,5.679,1.0,0.046,0.461,0.724,no,4,4,7.0,7.0,7,,,,,,,False,False
P023_T2,P023,B4,B,4,18-34,yes,3,4,4.5,False,5,5,5,5,2,notre_dame,visit,moderate,moderate,moderate,moderate,0,1,0,4.087,,0.0,0.0,4.087,0.0,,,,,no,4,4,,,4,low,4.0,4.0,5.0,5.0,3.0,False,False
P023_T3,P023,B4,B,4,18-34,yes,3,4,4.5,False,5,5,5,5,3,duomo,feature,low,low,low,low,0,1,0,1.674,6.483,0.0,1.674,0.0,0.0,1.0,0.046,0.502,0.766,no,4,4,7.0,7.0,7,,,,,,,False,False
P023_T4,P023,B4,B,4,18-34,yes,3,4,4.5,False,5,5,5,5,4,colosseum,visit,empty,empty,empty,empty,0,1,0,1.567,,1.567,0.0,0.0,0.0,,,,,no,4,4,,,5,moderate,5.0,5.0,5.0,5.0,5.0,False,False
P024_T1,P024,C2,C,2,18-34,no,2,5,9.9,False,5,4,3,6,1,colosseum,visit,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate>low>empty>low>moderate,9,4,1,40.2,,4.478,7.082,14.675,13.965,,,,,no,2,1,,,3,moderate,5.0,3.0,2.0,2.0,3.0,False,False
P024_T2,P024,C2,C,2,18-34,no,2,5,9.9,False,5,4,3,6,2,duomo,feature,low,moderate,moderate,low>moderate,1,2,0,31.594,11.333,0.0,27.034,4.56,0.0,0.0,0.601,0.451,0.121,no,1,1,6.0,4.0,5,,,,,,,False,False
P024_T3,P024,C2,C,2,18-34,no,2,5,9.9,False,5,4,3,6,3,cologne,visit,empty,moderate,moderate,empty>moderate,1,2,0,19.494,,4.682,0.0,14.812,0.0,,,,,no,1,1,,,6,low,3.0,5.0,4.0,4.0,5.0,False,False
P024_T4,P024,C2,C,2,18-34,no,2,5,9.9,False,5,4,3,6,4,notre_dame,feature,high,moderate,moderate,high>moderate,1,2,0,21.098,1.77,0.0,0.0,9.615,11.483,1.0,0.093,0.523,0.441,no,2,1,5.0,4.0,6,,,,,,,False,False
P025_T1,P025,B1,B,1,18-34,yes,2,4,6.9,False,7,7,7,7,1,notre_dame,visit,low,moderate,low,low>moderate>high>empty>low>moderate>high>low>moderate>low,9,4,1,27.216,,1.864,17.694,4.358,3.3,,,,,no,3,3,,,6,low,6.0,4.0,4.0,5.0,6.0,False,False
P025_T2,P025,B1,B,1,18-34,yes,2,4,6.9,False,7,7,7,7,2,duomo,feature,high,empty,low,high>empty>low>moderate>high>low,5,4,1,21.606,6.694,1.864,4.273,2.376,13.093,1.0,0.036,0.502,0.756,no,3,3,4.0,6.0,6,,,,,,,False,False
P025_T3,P025,B1,B,1,18-34,yes,2,4,6.9,False,7,7,7,7,3,colosseum,visit,moderate,high,moderate,moderate>high>low>empty>low>moderate,5,4,1,18.705,,1.45,3.506,9.963,3.786,,,,,no,2,2,,,5,low,6.0,3.0,5.0,4.0,6.0,False,False
P025_T4,P025,B1,B,1,18-34,yes,2,4,6.9,False,7,7,7,7,4,cologne,feature,empty,high,low,empty>high>moderate>low>empty>high>moderate>low,7,4,1,13.826,3.912,6.716,2.274,1.402,3.434,1.0,0.044,0.463,0.724,no,2,2,4.0,5.0,5,,,,,,,False,False
P026_T1,P026,A3,A,3,18-34,no,1,3,9.1,True,6,6,6,6,1,colosseum,feature,moderate,empty,empty,moderate>empty>low>moderate>high>empty,5,4,1,18.803,4.959,8.423,1.71,6.848,1.822,0.0,0.119,0.496,0.584,no,5,2,2.0,6.0,6,,,,,,,False,False
P026_T2,P026,A3,A,3,18-34,no,1,3,9.1,True,6,6,6,6,2,cologne,visit,high,empty,empty,high>empty>low>moderate>high>empty,5,4,1,12.578,,4.957,1.702,1.515,4.404,,,,,no,1,1,,,6,empty,7.0,6.0,6.0,6.0,1.0,False,False
P026_T3,P026,A3,A,3,18-34,no,1,3,9.1,True,6,6,6,6,3,notre_dame,feature,low,moderate,high,low>moderate>high,2,3,0,21.538,2.835,0.0,19.453,0.84,1.245,1.0,0.083,0.534,0.428,no,4,2,5.0,2.0,6,,,,,,,False,False
P026_T4,P026,A3,A,3,18-34,no,1,3,9.1,True,6,6,6,6,4,duomo,visit,empty,low,empty,empty>low>moderate>high>empty,4,4,1,8.446,,5.956,1.133,0.57,0.787,,,,,no,3,2,,,6,empty,7.0,6.0,6.0,6.0,1.0,False,False
P027_T1,P027,B4,B,4,18-34,yes,3,5,14.0,False,7,7,7,7,1,cologne,feature,empty,low,high,empty>low>moderate>high>empty>high,5,4,1,23.711,2.611,9.488,1.601,1.426,11.196,1.0,0.045,0.46,0.738,no,1,1,7.0,7.0,7,,,,,,,False,False
P027_T2,P027,B4,B,4,18-34,yes,3,5,14.0,False,7,7,7,7,2,notre_dame,visit,low,empty,empty,low>empty>low>moderate>high>empty,5,4,1,17.219,,5.496,6.131,1.833,3.759,,,,,no,2,2,,,7,low,7.0,7.0,7.0,1.0,1.0,False,False
P027_T3,P027,B4,B,4,18-34,yes,3,5,14.0,False,7,7,7,7,3,duomo,feature,moderate,empty,empty,moderate>empty>low>moderate>high>empty>high>empty,7,4,1,38.726,3.052,10.626,1.361,6.699,20.04,1.0,0.026,0.501,0.745,no,1,1,7.0,7.0,7,,,,,,,False,False
P027_T4,P027,B4,B,4,18-34,yes,3,5,14.0,False,7,7,7,7,4,colosseum,visit,high,high,high,high,0,1,0,6.64,,0.0,0.0,0.0,6.64,,,,,no,6,4,,,7,empty,1.0,1.0,7.0,7.0,7.0,False,False
P028_T1,P028,C1,C,1,35-64,no,2,4,147.1,False,4,4,5,5,1,notre_dame,feature,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate,5,4,1,9.826,8.826,0.95,1.221,6.767,0.888,1.0,0.104,0.548,0.444,no,3,1,4.0,4.0,4,,,,,,,False,False
P028_T2,P028,C1,C,1,35-64,no,2,4,147.1,False,4,4,5,5,2,colosseum,visit,high,moderate,moderate,high>moderate>low>empty>moderate,4,4,0,6.83,,1.048,0.938,2.48,2.364,,,,,no,3,1,,,4,moderate,4.0,5.0,4.0,4.0,4.0,False,False
P028_T3,P028,C1,C,1,35-64,no,2,4,147.1,False,4,4,5,5,3,duomo,feature,low,moderate,moderate,low>moderate>high>empty>low>moderate,5,4,1,9.98,3.259,0.764,3.473,4.019,1.724,1.0,0.017,0.504,0.737,no,1,1,5.0,4.0,5,,,,,,,False,False
P028_T4,P028,C1,C,1,35-64,no,2,4,147.1,False,4,4,5,5,4,cologne,visit,empty,low,moderate,empty>low>moderate>high>moderate,4,4,0,9.47,,2.131,2.117,2.512,2.71,,,,,no,1,1,,,4,moderate,4.0,5.0,4.0,3.0,3.0,False,False
P029_T1,P029,B2,B,2,18-34,no,2,5,8.0,True,7,7,7,7,1,duomo,feature,high,empty,high,high>empty>low>moderate>high,4,4,1,4.736,19.384,0.265,0.264,0.288,3.92,1.0,0.039,0.497,0.759,no,4,3,7.0,7.0,7,,,,,,,False,False
P029_T2,P029,B2,B,2,18-34,no,2,5,8.0,True,7,7,7,7,2,colosseum,visit,moderate,empty,high,moderate>empty>low>high>moderate>high,5,4,1,6.129,,0.312,0.312,2.704,2.801,,,,,no,3,3,,,7,high,7.0,7.0,5.0,7.0,7.0,False,False
P029_T3,P029,B2,B,2,18-34,no,2,5,8.0,True,7,7,7,7,3,cologne,feature,empty,low,high,empty>low>moderate>high,3,4,0,4.152,5.352,2.289,0.271,0.32,1.272,1.0,0.047,0.458,0.735,no,2,3,7.0,7.0,7,,,,,,,False,False
P029_T4,P029,B2,B,2,18-34,no,2,5,8.0,True,7,7,7,7,4,notre_dame,visit,low,empty,high,low>empty>low>moderate>high,4,4,1,3.665,,0.256,1.93,0.271,1.208,,,,,no,2,3,,,7,high,7.0,7.0,7.0,7.0,7.0,False,False
P030_T1,P030,B3,B,3,35-64,yes,4,6,7.1,False,7,7,4,7,1,colosseum,visit,moderate,empty,empty,moderate>empty>low>moderate>high>low>empty,6,4,1,12.357,,2.474,1.016,7.795,1.071,,,,,no,4,4,,,1,empty,6.0,7.0,5.0,5.0,6.0,False,False
P030_T2,P030,B3,B,3,35-64,yes,4,6,7.1,False,7,7,4,7,2,cologne,feature,low,empty,empty,low>empty>low>moderate>high>empty>low>moderate>high>empty,9,4,1,19.566,3.35,1.919,6.254,1.243,10.151,1.0,0.038,0.468,0.745,no,1,1,7.0,1.0,1,,,,,,,False,False
P030_T3,P030,B3,B,3,35-64,yes,4,6,7.1,False,7,7,4,7,3,notre_dame,visit,empty,low,empty,empty>low>moderate>high>low>empty>low>moderate>high>empty,9,4,1,14.282,,7.768,1.283,1.236,3.995,,,,,no,4,4,,,1,empty,6.0,7.0,5.0,5.0,2.0,False,False
P030_T4,P030,B3,B,3,35-64,yes,4,6,7.1,False,7,7,4,7,4,duomo,feature,high,moderate,empty,high>moderate>low>empty>low>moderate>high>moderate>low>empty,9,4,1,10.586,2.15,3.866,1.343,1.459,3.917,1.0,0.066,0.496,0.785,no,4,3,5.0,7.0,1,,,,,,,False,False
P031_T1,P031,A1,A,1,18-34,yes,3,2,7.6,False,5,6,6,3,1,notre_dame,feature,empty,low,moderate,empty>low>moderate>high>moderate>low>empty>moderate,7,4,1,23.051,3.366,9.942,2.249,7.716,3.144,1.0,0.084,0.534,0.429,no,1,1,6.0,4.0,4,,,,,,,False,False
P031_T2,P031,A1,A,1,18-34,yes,3,2,7.6,False,5,6,6,3,2,duomo,visit,high,empty,empty,high>empty>low>moderate>high>moderate>low>empty>low>empty,9,4,1,23.027,,3.469,7.394,2.6,9.565,,,,,no,2,2,,,6,low,6.0,6.0,6.0,5.0,6.0,False,False
P031_T3,P031,A1,A,1,18-34,yes,3,2,7.6,False,5,6,6,3,3,colosseum,feature,moderate,high,low,moderate>high>empty>low,3,4,0,27.001,18.101,1.1,3.1,20.708,2.094,1.0,0.064,0.494,0.529,no,3,3,5.0,5.0,4,,,,,,,False,False
P031_T4,P031,A1,A,1,18-34,yes,3,2,7.6,False,5,6,6,3,4,cologne,visit,low,moderate,moderate,low>moderate,1,2,0,7.723,,0.0,6.557,1.166,0.0,,,,,no,3,3,,,5,moderate,5.0,5.0,6.0,6.0,6.0,False,False
P032_T1,P032,C2,C,2,18-34,no,3,6,6.3,False,7,7,7,7,1,colosseum,visit,low,empty,high,low>empty>low>moderate>high,4,4,1,8.776,,1.28,5.856,0.513,1.127,,,,,no,7,7,,,6,low,3.0,1.0,5.0,5.0,7.0,False,False
P032_T2,P032,C2,C,2,18-34,no,3,6,6.3,False,7,7,7,7,2,duomo,feature,empty,low,high,empty>low>moderate>empty>high,4,4,1,4.12,11.144,2.208,0.401,0.607,0.904,1.0,0.074,0.502,0.794,no,5,2,7.0,6.0,7,,,,,,,False,False
P032_T3,P032,C2,C,2,18-34,no,3,6,6.3,False,7,7,7,7,3,cologne,visit,moderate,empty,high,moderate>empty>low>moderate>high,4,4,1,4.537,,0.36,0.442,2.407,1.328,,,,,no,5,4,,,4,low,7.0,3.0,7.0,6.0,5.0,False,False
P032_T4,P032,C2,C,2,18-34,no,3,6,6.3,False,7,7,7,7,4,notre_dame,feature,high,empty,high,high>empty>low>moderate>high,4,4,1,3.968,4.792,0.456,0.584,0.384,2.544,1.0,0.091,0.535,0.436,no,4,3,7.0,7.0,1,,,,,,,False,False
P033_T1,P033,A3,A,3,35-64,no,1,5,10.1,False,5,5,5,5,1,colosseum,feature,high,empty,high,high>empty>low>moderate>high,4,4,1,17.551,3.165,2.94,2.887,3.503,8.221,0.0,0.162,0.504,0.626,no,1,1,3.0,5.0,5,,,,,,,False,False
P033_T2,P033,A3,A,3,35-64,no,1,5,10.1,False,5,5,5,5,2,cologne,visit,moderate,empty,high,moderate>empty>low>moderate>high,4,4,1,14.813,,3.608,2.738,5.422,3.045,,,,,no,1,1,,,5,empty,5.0,5.0,5.0,5.0,5.0,False,False
P033_T3,P033,A3,A,3,35-64,no,1,5,10.1,False,5,5,5,5,3,notre_dame,feature,empty,empty,high,empty>low>moderate>high,3,4,1,13.238,13.118,3.908,3.585,2.617,3.128,0.0,0.117,0.541,0.462,no,1,1,4.0,5.0,5,,,,,,,False,False
P033_T4,P033,A3,A,3,35-64,no,1,5,10.1,False,5,5,5,5,4,duomo,visit,low,empty,empty,low>empty,1,2,0,8.131,,2.205,5.926,0.0,0.0,,,,,no,1,1,,,5,empty,5.0,5.0,5.0,5.0,5.0,False,False
P034_T1,P034,B1,B,1,35-64,no,3,5,8.5,False,5,5,4,6,1,notre_dame,visit,empty,empty,high,empty>low>moderate>high,3,4,1,12.9,,8.04,1.455,1.38,2.025,,,,,no,1,1,,,3,low,4.0,2.0,5.0,3.0,5.0,False,False
P034_T2,P034,B1,B,1,35-64,no,3,5,8.5,False,5,5,4,6,2,duomo,feature,high,low,empty,high>low>moderate>high>empty,4,4,1,16.875,6.398,2.19,2.265,1.815,10.605,1.0,0.058,0.5,0.777,no,1,1,6.0,4.0,5,,,,,,,False,False
P034_T3,P034,B1,B,1,35-64,no,3,5,8.5,False,5,5,4,6,3,colosseum,visit,low,moderate,empty,low>moderate>low>high>empty,4,4,1,13.253,,1.553,7.981,1.943,1.777,,,,,yes,5,3,,,5,low,4.0,2.0,5.0,5.0,5.0,False,False
P034_T4,P034,B1,B,1,35-64,no,3,5,8.5,False,5,5,4,6,4,cologne,feature,moderate,low,high,moderate>low>empty>moderate>high,4,4,1,11.648,6.322,1.86,1.777,6.938,1.073,1.0,0.04,0.466,0.731,yes,5,4,6.0,4.0,5,,,,,,,False,False
P035_T1,P035,B1,B,1,18-34,yes,2,1,10.1,False,7,7,7,7,1,notre_dame,visit,high,empty,moderate,high>empty>low>moderate>high>moderate,5,4,1,19.627,,3.998,4.253,5.955,5.422,,,,,no,4,3,,,7,moderate,6.0,5.0,6.0,6.0,7.0,False,False
P035_T2,P035,B1,B,1,18-34,yes,2,1,10.1,False,7,7,7,7,2,duomo,feature,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate,5,4,1,14.379,8.97,1.344,1.8,7.8,3.435,1.0,0.017,0.504,0.737,no,2,1,3.0,6.0,5,,,,,,,False,False
P035_T3,P035,B1,B,1,18-34,yes,2,1,10.1,False,7,7,7,7,3,colosseum,visit,low,empty,low,low>empty>low>moderate>high>moderate>low,6,4,1,19.253,,2.414,9.867,4.048,2.925,,,,,no,7,3,,,7,low,7.0,5.0,6.0,5.0,6.0,False,False
P035_T4,P035,B1,B,1,18-34,yes,2,1,10.1,False,7,7,7,7,4,cologne,feature,empty,low,moderate,empty>low>empty>moderate>high>low>moderate,6,4,1,19.439,12.557,6.303,4.506,3.679,4.951,1.0,0.045,0.46,0.736,no,5,3,3.0,6.0,6,,,,,,,False,False
P036_T1,P036,A4,A,4,18-34,yes,3,7,7.5,False,7,7,7,7,1,cologne,visit,high,empty,high,high>empty>low>moderate>high,4,4,1,12.798,,1.662,3.207,1.104,6.825,,,,,no,1,1,,,7,low,7.0,1.0,7.0,7.0,7.0,False,False
P036_T2,P036,A4,A,4,18-34,yes,3,7,7.5,False,7,7,7,7,2,notre_dame,feature,empty,high,moderate,empty>high>moderate>low>empty>moderate,5,4,1,21.152,3.993,12.191,1.23,6.738,0.993,1.0,0.094,0.536,0.439,no,7,3,5.0,5.0,6,,,,,,,False,False
P036_T3,P036,A4,A,4,18-34,yes,3,7,7.5,False,7,7,7,7,3,duomo,visit,moderate,high,low,moderate>high>empty>low>moderate>high>moderate>low,7,4,1,34.146,,0.676,22.443,8.489,2.538,,,,,no,1,1,,,7,moderate,7.0,5.0,6.0,5.0,6.0,False,False
P036_T4,P036,A4,A,4,18-34,yes,3,7,7.5,False,7,7,7,7,4,colosseum,feature,low,empty,moderate,low>empty>low>moderate>high>moderate>high>moderate,7,4,1,42.629,4.473,1.313,13.654,11.95,15.712,0.0,0.229,0.349,0.641,no,1,1,4.0,5.0,7,,,,,,,False,False
P037_T1,P037,C4,C,4,18-34,no,5,4,8.9,False,4,6,5,5,1,cologne,visit,high,low,moderate,high>low>moderate,2,3,0,7.683,,0.0,0.79,2.772,4.12,,,,,no,7,4,,,6,moderate,5.0,6.0,5.0,5.0,4.0,False,False
P037_T2,P037,C4,C,4,18-34,no,5,4,8.9,False,4,6,5,5,2,notre_dame,feature,low,moderate,moderate,low>moderate>high>moderate,3,3,0,14.753,15.037,0.0,7.961,5.811,0.981,1.0,0.09,0.533,0.436,no,7,5,3.0,3.0,3,,,,,,,False,False
P037_T3,P037,C4,C,4,18-34,no,5,4,8.9,False,4,6,5,5,3,colosseum,visit,moderate,high,moderate,moderate>high>low>empty>low>moderate>high>moderate,7,4,1,12.33,,0.667,1.663,7.53,2.472,,,,,no,7,4,,,5,moderate,6.0,6.0,5.0,5.0,3.0,False,False
P037_T4,P037,C4,C,4,18-34,no,5,4,8.9,False,4,6,5,5,4,duomo,feature,empty,moderate,moderate,empty>moderate>high>moderate,3,3,0,12.594,1.542,7.489,0.0,3.852,1.253,1.0,0.032,0.5,0.751,no,7,4,4.0,3.0,3,,,,,,,False,False
P038_T1,P038,B3,B,3,18-34,yes,2,7,12.2,False,6,6,7,7,1,colosseum,visit,low,empty,empty,low>empty>low>moderate>high>low>empty,6,4,1,12.162,,5.816,4.737,0.675,0.934,,,,,no,4,4,,,6,empty,5.0,7.0,6.0,6.0,4.0,False,False
P038_T2,P038,B3,B,3,18-34,yes,2,7,12.2,False,6,6,7,7,2,cologne,feature,high,empty,empty,high>empty>low>moderate>high>low>empty>low>moderate>high>moderate>low>empty>low>empty>low>empty>low>empty,18,4,1,26.64,5.772,7.942,12.96,1.215,4.523,1.0,0.048,0.46,0.72,no,3,2,6.0,3.0,3,,,,,,,False,False
P038_T3,P038,B3,B,3,18-34,yes,2,7,12.2,False,6,6,7,7,3,notre_dame,visit,moderate,low,empty,moderate>low>empty>low>moderate>high>moderate>low>empty>low>moderate>low>empty,12,4,1,19.519,,2.7,4.016,12.106,0.698,,,,,yes,5,4,,,6,empty,6.0,7.0,6.0,6.0,4.0,False,False
P038_T4,P038,B3,B,3,18-34,yes,2,7,12.2,False,6,6,7,7,4,duomo,feature,empty,low,empty,empty>low>moderate>high>moderate>high>empty,6,4,1,6.638,1.17,3.286,0.382,0.956,2.014,1.0,0.03,0.502,0.75,yes,5,4,6.0,6.0,6,,,,,,,False,False
P039_T1,P039,A2,A,2,35-64,no,2,4,9.1,False,3,4,4,4,1,duomo,visit,empty,low,empty,empty>low>moderate>high>empty,4,4,1,17.918,,7.913,3.6,3.082,3.323,,,,,no,1,1,,,4,empty,5.0,7.0,4.0,4.0,2.0,False,False
P039_T2,P039,A2,A,2,35-64,no,2,4,9.1,False,3,4,4,4,2,colosseum,feature,low,empty,moderate,low>empty>low>moderate>high>moderate,5,4,1,15.9,15.136,2.475,6.743,4.155,2.527,1.0,0.071,0.463,0.529,no,4,3,1.0,3.0,2,,,,,,,False,False
P039_T3,P039,A2,A,2,35-64,no,2,4,9.1,False,3,4,4,4,3,cologne,visit,high,empty,empty,high>empty>low>moderate>high>empty,5,4,1,12.894,,3.353,2.078,1.867,5.597,,,,,no,1,1,,,3,empty,7.0,6.0,4.0,3.0,2.0,False,False
P039_T4,P039,A2,A,2,35-64,no,2,4,9.1,False,3,4,4,4,4,notre_dame,feature,moderate,empty,empty,moderate>empty>low>moderate>high>low>moderate>empty,7,4,1,15.774,9.63,3.992,3.66,5.774,2.348,1.0,0.096,0.535,0.441,no,3,2,4.0,2.0,1,,,,,,,False,False
P040_T1,P040,D4,D,4,35-64,no,2,3,4.1,False,7,6,5,7,1,cologne,feature,moderate,empty,high,moderate>empty>low>moderate>high>empty>low>moderate>high>moderate>low>empty>high,12,4,1,17.401,8.175,2.573,3.472,5.273,6.083,1.0,0.047,0.458,0.736,no,1,1,5.0,3.0,6,,,,,,,False,False
P040_T2,P040,D4,D,4,35-64,no,2,3,4.1,False,7,6,5,7,2,notre_dame,visit,high,empty,empty,high>empty>low>moderate>high>empty>low>empty,7,4,1,14.784,,4.883,2.873,1.417,5.611,,,,,no,1,1,,,5,moderate,3.0,5.0,6.0,5.0,6.0,False,False
P040_T3,P040,D4,D,4,35-64,no,2,3,4.1,False,7,6,5,7,3,colosseum,feature,low,empty,moderate,low>empty>low>moderate>high>moderate>low>empty>low>moderate,9,4,1,13.254,9.007,2.79,4.86,3.736,1.868,0.0,0.096,0.4,0.477,yes,7,6,7.0,6.0,4,,,,,,,False,False
P040_T4,P040,D4,D,4,35-64,no,2,3,4.1,False,7,6,5,7,4,duomo,visit,empty,low,moderate,empty>low>moderate>high>low>empty>low>moderate,7,4,1,9.204,,2.071,2.505,2.468,2.16,,,,,yes,7,5,,,7,moderate,3.0,4.0,7.0,7.0,7.0,False,False
P041_T1,P041,D4,D,4,35-64,no,2,6,7.7,False,5,5,3,5,1,cologne,feature,low,empty,moderate,low>empty>low>moderate>high>moderate,5,4,1,16.481,2.58,1.092,11.997,2.595,0.797,1.0,0.044,0.462,0.732,no,1,1,5.0,6.0,7,,,,,,,False,False
P041_T2,P041,D4,D,4,35-64,no,2,6,7.7,False,5,5,3,5,2,notre_dame,visit,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate>low>moderate,7,4,1,13.701,,0.845,2.199,9.478,1.179,,,,,no,3,1,,,2,moderate,6.0,5.0,2.0,3.0,5.0,False,False
P041_T3,P041,D4,D,4,35-64,no,2,6,7.7,False,5,5,3,5,3,colosseum,feature,high,empty,moderate,high>empty>low>moderate>high>moderate,5,4,1,31.29,4.279,15.999,1.361,3.473,10.457,0.0,0.103,0.417,0.532,no,4,2,6.0,4.0,1,,,,,,,False,False
P041_T4,P041,D4,D,4,35-64,no,2,6,7.7,False,5,5,3,5,4,duomo,visit,empty,low,moderate,empty>low>moderate>high>moderate,4,4,0,21.302,,8.918,5.244,5.946,1.194,,,,,no,1,1,,,2,moderate,6.0,4.0,3.0,2.0,5.0,False,False
P042_T1,P042,C4,C,4,18-34,yes,1,5,5.9,False,6,6,7,7,1,cologne,visit,low,moderate,moderate,low>moderate>high>empty>low>moderate,5,4,1,9.398,,0.628,5.318,2.298,1.154,,,,,yes,7,1,,,3,low,6.0,5.0,3.0,2.0,5.0,False,False
P042_T2,P042,C4,C,4,18-34,yes,1,5,5.9,False,6,6,7,7,2,notre_dame,feature,high,empty,low,high>empty>low>moderate>high>low,5,4,1,10.629,1.705,1.236,3.764,0.943,4.685,0.0,0.136,0.443,0.47,yes,3,2,2.0,3.0,3,,,,,,,False,False
P042_T3,P042,C4,C,4,18-34,yes,1,5,5.9,False,6,6,7,7,3,colosseum,visit,empty,moderate,moderate,empty>moderate>low>high>empty>moderate,5,4,1,7.421,,3.083,0.72,1.473,2.145,,,,,yes,7,1,,,3,high,4.0,3.0,5.0,4.0,5.0,False,False
P042_T4,P042,C4,C,4,18-34,yes,1,5,5.9,False,6,6,7,7,4,duomo,feature,moderate,high,moderate,moderate>high>low>empty>moderate,4,4,1,6.723,1.258,0.825,0.705,4.438,0.755,1.0,0.032,0.5,0.751,yes,6,2,7.0,5.0,5,,,,,,,False,False
P043_T1,P043,A2,A,2,18-34,yes,3,5,8.6,True,7,7,7,7,1,duomo,visit,high,low,high,high>low>empty>moderate>high,4,4,1,9.518,,0.66,1.282,0.294,7.283,,,,,no,3,1,,,3,low,2.0,3.0,6.0,5.0,7.0,False,False
P043_T2,P043,A2,A,2,18-34,yes,3,5,8.6,True,7,7,7,7,2,colosseum,feature,low,low,low,low,0,1,0,4.921,5.76,0.0,4.921,0.0,0.0,0.0,0.094,0.431,0.534,yes,6,6,4.0,4.0,7,,,,,,,False,False
P043_T3,P043,A2,A,2,18-34,yes,3,5,8.6,True,7,7,7,7,3,cologne,visit,moderate,empty,empty,moderate>empty>low>moderate>high>low>empty,6,4,1,9.631,,2.512,1.552,5.093,0.473,,,,,no,4,4,,,7,low,6.0,7.0,7.0,3.0,5.0,False,False
P043_T4,P043,A2,A,2,18-34,yes,3,5,8.6,True,7,7,7,7,4,notre_dame,feature,empty,low,moderate,empty>low>moderate>high>low>moderate,5,4,0,4.642,4.898,1.53,0.96,1.733,0.42,1.0,0.091,0.541,0.434,no,4,4,7.0,7.0,2,,,,,,,False,False
P044_T1,P044,C1,C,1,18-34,no,2,6,9.8,True,5,5,6,5,1,notre_dame,feature,empty,low,low,empty>low>moderate>high>low,4,4,0,12.382,0.968,3.87,3.907,1.298,3.307,1.0,0.068,0.525,0.415,no,4,2,7.0,2.0,1,,,,,,,False,False
P044_T2,P044,C1,C,1,18-34,no,2,6,9.8,True,5,5,6,5,2,colosseum,visit,low,empty,low,low>empty>low>moderate>high>empty>low,6,4,1,15.105,,0.772,12.435,0.482,1.417,,,,,no,6,5,,,6,low,6.0,6.0,7.0,4.0,2.0,False,False
P044_T3,P044,C1,C,1,18-34,no,2,6,9.8,True,5,5,6,5,3,duomo,feature,moderate,empty,low,moderate>empty>low>moderate>high>empty>low>moderate>high>empty>low>moderate>high>empty>low,14,4,1,55.758,1.724,44.155,3.751,5.324,2.528,1.0,0.049,0.5,0.769,no,2,1,7.0,4.0,4,,,,,,,False,False
P044_T4,P044,C1,C,1,18-34,no,2,6,9.8,True,5,5,6,5,4,cologne,visit,high,moderate,low,high>moderate>low>empty>low>high>moderate>empty>low,8,4,1,19.021,,3.707,4.477,1.626,9.211,,,,,no,2,1,,,3,low,6.0,6.0,6.0,4.0,2.0,False,False
P045_T1,P045,C2,C,2,18-34,yes,2,7,11.3,True,7,7,7,7,1,colosseum,visit,empty,low,empty,empty>low>moderate>high>empty,4,4,1,22.332,,10.079,4.934,3.669,3.649,,,,,no,3,2,,,4,low,6.0,5.0,4.0,5.0,6.0,False,False
P045_T2,P045,C2,C,2,18-34,yes,2,7,11.3,True,7,7,7,7,2,duomo,feature,low,moderate,empty,low>moderate>high>empty,3,4,0,13.08,7.431,3.788,4.258,2.495,2.539,1.0,0.043,0.501,0.763,no,1,1,7.0,7.0,7,,,,,,,False,False
P045_T3,P045,C2,C,2,18-34,yes,2,7,11.3,True,7,7,7,7,3,cologne,visit,moderate,high,moderate,moderate>high>empty>low>moderate,4,4,1,21.636,,4.349,3.965,9.273,4.049,,,,,no,1,1,,,7,low,7.0,2.0,7.0,7.0,7.0,False,False
