record_id,participant_id,program_code,main_group,order_variant,age_group,design_education,digital_use,crowd_discomfort,study_duration_min,sensitivity_focus_or_reload_flag,final_usefulness,final_ease,final_representational_value,final_future_preference,trial_order,landmark_id,task_type,initial_density,first_user_selected_density,committed_density,density_sequence,switch_count,unique_levels_viewed,all_density_levels_clicked,selection_time_s,localization_time_s,time_empty_s,time_low_s,time_moderate_s,time_high_s,accuracy,aoi_distance,click_x,click_y,familiarity_visited,familiarity_visual,familiarity_spatial,rating_answer_confidence,rating_comparison_benefit,rating_control_usefulness,rating_ideal_density,rating_aesthetic_appeal,rating_expected_comfort,rating_self_location_imagery,rating_informational_adequacy,rating_representational_realism,review_selection_time_3iqr,review_localization_time_3iqr
P007_T2,P007,B2,B,2,18-34,no,3,5,6.1,False,7,7,7,7,2,colosseum,visit,high,moderate,moderate,high>moderate,1,2,0,6.646,,0.0,0.0,2.543,4.102,,,,,yes,6,3,,,7,low,6.0,7.0,6.0,6.0,6.0,False,False
P007_T3,P007,B2,B,2,18-34,no,3,5,6.1,False,7,7,7,7,3,cologne,feature,empty,empty,empty,empty,0,1,0,5.273,2.431,5.273,0.0,0.0,0.0,1.0,0.043,0.463,0.733,no,2,2,4.0,6.0,5,,,,,,,False,False
P007_T4,P007,B2,B,2,18-34,no,3,5,6.1,False,7,7,7,7,4,notre_dame,visit,moderate,low,empty,moderate>low>moderate>high>empty,4,4,1,14.198,,2.991,4.441,4.988,1.778,,,,,yes,5,4,,,6,low,6.0,6.0,6.0,6.0,6.0,False,False
P008_T1,P008,B3,B,3,18-34,yes,3,4,16.0,False,6,6,5,5,1,colosseum,visit,high,empty,moderate,high>empty>low>moderate>high>moderate>low>empty>low>moderate>high>moderate>high>low>moderate>high>moderate,16,4,1,30.851,,1.963,8.881,11.726,8.281,,,,,no,7,4,,,5,low,3.0,4.0,6.0,5.0,3.0,False,False
P008_T2,P008,B3,B,3,18-34,yes,3,4,16.0,False,6,6,5,5,2,cologne,feature,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate,5,4,1,8.753,2.674,0.504,0.47,5.066,2.715,1.0,0.044,0.461,0.729,no,1,1,5.0,1.0,1,,,,,,,False,False
P008_T3,P008,B3,B,3,18-34,yes,3,4,16.0,False,6,6,5,5,3,notre_dame,visit,empty,low,moderate,empty>low>moderate>high>empty>low>moderate>high>empty>low>moderate>high>moderate,12,4,1,42.51,,25.67,2.508,4.056,10.276,,,,,no,4,2,,,4,low,3.0,4.0,6.0,5.0,5.0,False,False
P008_T4,P008,B3,B,3,18-34,yes,3,4,16.0,False,6,6,5,5,4,duomo,feature,low,empty,moderate,low>empty>low>moderate>high>moderate,5,4,1,11.772,1.451,0.98,3.962,3.704,3.126,1.0,0.02,0.502,0.74,no,2,1,6.0,1.0,1,,,,,,,False,False
P009_T1,P009,C4,C,4,18-34,no,2,4,11.8,False,2,3,2,2,1,cologne,visit,empty,low,moderate,empty>low>moderate>high>moderate>empty>low>moderate>high>moderate,9,4,1,25.591,,6.803,4.042,10.2,4.546,,,,,no,1,1,,,4,low,4.0,5.0,4.0,3.0,5.0,False,False
P009_T2,P009,C4,C,4,18-34,no,2,4,11.8,False,2,3,2,2,2,notre_dame,feature,moderate,empty,empty,moderate>empty>low>moderate>high>low>moderate>empty>low>moderate>high>empty,11,4,1,45.263,4.606,14.256,5.041,20.707,5.259,1.0,0.095,0.538,0.439,yes,3,3,7.0,1.0,1,,,,,,,False,False
P009_T3,P009,C4,C,4,18-34,no,2,4,11.8,False,2,3,2,2,3,colosseum,visit,high,empty,moderate,high>empty>low>moderate>high>moderate>high>moderate,7,4,1,20.55,,2.197,1.642,11.009,5.702,,,,,yes,4,4,,,2,low,3.0,5.0,4.0,2.0,4.0,False,False
