record_id,participant_id,task_type,landmark_id,initial_density,first_participant_initiated_density,committed_density,initial_match,first_participant_initiated_match,changed_from_initial,changed_after_first_participant_initiated_state,viewed_all_four,revisited_any_state,returned_to_initial,adjacent_transitions,skip_transitions,noop_transitions,return_transitions,direction_reversals,net_initial_to_final,sequence_length,switch_count,unique_levels_viewed,selection_time_s,total_dwell_s,dwell_empty_s,dwell_share_empty,dwell_low_s,dwell_share_low,dwell_moderate_s,dwell_share_moderate,dwell_high_s,dwell_share_high
P059_T4,P059,visit,duomo,empty,low,high,0,0,1,1,1,1,1,7,1,0,5,2,3,9,8,4,6.668,6.668,2.356,0.3533293341331733,1.327,0.1990101979604079,0.884,0.1325734853029394,2.101,0.3150869826034793
P060_T1,P060,feature,cologne,empty,empty,empty,1,1,0,0,1,1,1,3,1,0,1,1,0,5,4,4,11.608,11.608,7.816,0.673328738800827,0.528,0.045485871812543,0.568,0.0489317711922811,2.696,0.2322536181943487
P060_T2,P060,visit,notre_dame,low,empty,empty,0,1,1,0,1,1,1,4,1,0,2,2,-1,6,5,4,13.52,13.521,2.872,0.2124103246801272,5.874,0.4344353228311515,0.575,0.0425264403520449,4.2,0.3106279121366763
P060_T3,P060,feature,duomo,high,empty,low,0,0,1,1,1,1,1,4,2,0,3,3,-2,7,6,4,15.776,15.777,3.472,0.2200671864105977,2.48,0.1571908474361412,1.752,0.1110477277048868,8.073,0.5116942384483743
P060_T4,P060,visit,colosseum,moderate,empty,low,0,0,1,1,1,1,1,3,2,0,2,2,-1,6,5,4,11.584,11.585,0.873,0.0753560638757013,5.143,0.443936124298662,4.033,0.3481225722917566,1.536,0.13258523953388
P061_T1,P061,visit,duomo,high,moderate,high,1,0,0,1,1,1,1,3,1,0,1,1,0,5,4,4,11.655,11.655,1.553,0.1332475332475332,0.731,0.0627198627198627,0.715,0.0613470613470613,8.656,0.7426855426855427
P061_T2,P061,feature,cologne,moderate,low,low,0,1,1,0,1,1,1,6,1,0,4,3,-1,8,7,4,19.114,19.114,3.117,0.1630741864601862,3.071,0.1606675735063304,11.745,0.6144710683268808,1.181,0.0617871717066024
P061_T3,P061,visit,notre_dame,empty,low,moderate,0,0,1,1,1,1,0,4,1,0,2,2,2,6,5,4,11.014,11.014,2.578,0.2340657345197022,2.619,0.2377882694752134,1.845,0.1675140729980025,3.972,0.3606319230070819
P061_T4,P061,feature,colosseum,low,moderate,high,0,0,1,1,0,0,0,2,0,0,0,0,2,3,2,3,9.642,9.642,0.0,0.0,4.985,0.5170089193113462,1.046,0.108483717071147,3.611,0.3745073636175067
P062_T1,P062,visit,notre_dame,high,moderate,empty,0,0,1,1,1,1,1,3,2,0,2,2,-3,6,5,4,25.548,25.548,5.113,0.2001330828244872,4.021,0.157390010959762,3.463,0.1355487709409738,12.951,0.5069281352747769
P062_T2,P062,feature,duomo,moderate,empty,low,0,0,1,1,1,1,1,3,2,0,2,2,-1,6,5,4,33.725,33.725,4.917,0.1457968865826538,5.679,0.1683914010378057,13.153,0.3900074128984432,9.976,0.2958042994810971
P062_T3,P062,visit,colosseum,empty,low,empty,1,0,0,1,1,1,1,3,1,0,1,1,0,5,4,4,32.317,32.316,10.901,0.3373251640054462,10.842,0.3354994430003713,5.997,0.1855737096175269,4.576,0.1416016833766555
P062_T4,P062,feature,cologne,low,high,empty,0,0,1,1,0,0,0,0,2,0,0,1,-1,3,2,3,14.849,14.849,3.034,0.2043235234695939,7.45,0.5017172873594181,0.0,0.0,4.365,0.2939591891709879
P063_T1,P063,visit,cologne,low,moderate,moderate,0,1,1,0,0,1,0,5,0,0,3,3,1,6,5,3,15.405,15.405,0.0,0.0,6.039,0.3920155793573515,5.234,0.3397598182408309,4.132,0.2682246024018175
P063_T2,P063,feature,notre_dame,empty,low,moderate,0,0,1,1,1,1,0,4,0,0,1,1,2,5,4,4,14.768,14.769,7.576,0.5129663484325275,1.635,0.1107048547633556,3.69,0.2498476538695917,1.868,0.126481142934525
P063_T3,P063,visit,duomo,moderate,low,high,0,0,1,1,1,1,0,1,3,0,1,3,1,5,4,4,23.011,23.012,1.636,0.0710933426038588,1.748,0.0759603685033895,16.111,0.7001129845298105,3.517,0.152833304362941
P063_T4,P063,feature,colosseum,high,moderate,moderate,0,1,1,0,0,1,1,5,0,0,3,2,-1,6,5,3,11.326,11.326,0.0,0.0,2.122,0.1873565248101712,3.346,0.2954264524103832,5.858,0.5172170227794455
P064_T1,P064,feature,duomo,low,empty,high,0,0,1,1,1,1,1,4,2,0,3,3,2,7,6,4,41.571,41.571,9.089,0.2186379928315412,16.432,0.3952755526689278,1.897,0.0456327728464554,14.153,0.3404536816530755
P064_T2,P064,visit,cologne,high,moderate,high,1,0,0,1,0,1,1,2,0,0,1,1,0,3,2,2,20.985,20.985,0.0,0.0,0.0,0.0,8.453,0.4028115320467,12.532,0.5971884679532999
P064_T3,P064,feature,notre_dame,empty,moderate,moderate,0,1,1,0,0,0,0,0,1,0,0,0,2,2,1,2,13.583,13.583,8.019,0.5903703158359714,0.0,0.0,5.564,0.4096296841640285,0.0,0.0
P064_T4,P064,visit,colosseum,moderate,moderate,moderate,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.753,5.753,0.0,0.0,0.0,0.0,5.753,1.0,0.0,0.0
P065_T1,P065,visit,cologne,empty,low,empty,1,0,0,1,1,1,1,3,1,0,1,1,0,5,4,4,6.96,6.961,5.665,0.8138198534693291,0.241,0.0346214624335583,0.224,0.032179284585548,0.831,0.1193793995115644
P065_T2,P065,feature,notre_dame,moderate,empty,low,0,0,1,1,0,1,1,3,1,0,2,2,-1,5,4,3,8.528,8.528,0.52,0.0609756097560975,1.516,0.1777673545966228,6.492,0.7612570356472795,0.0,0.0
P065_T3,P065,visit,colosseum,high,empty,empty,0,1,1,0,0,0,0,0,1,0,0,0,-3,2,1,2,3.761,3.761,1.416,0.3764956128689178,0.0,0.0,0.0,0.0,2.345,0.6235043871310821
P065_T4,P065,feature,duomo,low,low,low,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.588,3.588,0.0,0.0,3.588,1.0,0.0,0.0,0.0,0.0
